order_item_id,order_id,product_id,quantity,unit_price,discount,tax_percent,final_price,warehouse,dispatch_status
1,30849,9073,5,27977.09,0,12,27677.21,Delhi,Dispatched
2,1535,10019,5,15263.09,10,5,10175.64,Bangalore,Dispatched
3,17688,49758,4,21755.37,5,18,37621.95,Mumbai,Dispatched
4,38216,33491,1,10188.48,0,5,16344.04,Mumbai,Pending
5,11300,30932,2,15414.48,5,12,6899.86,Mumbai,Dispatched
6,2746,11331,4,49964.87,10,12,26954.26,Bangalore,Pending
7,13639,4320,4,34724.03,15,5,17992.73,Mumbai,Pending
8,5519,40095,3,49084.67,0,5,11042.11,Mumbai,Dispatched
9,4866,26252,4,34951.5,10,18,29609.38,Bangalore,Pending
10,4346,17603,4,13868.9,5,18,21498.5,Mumbai,Dispatched
11,15155,23983,2,36485.55,0,18,16986.7,Mumbai,Dispatched
12,39382,43884,2,38788.19,10,18,26813.83,Mumbai,Pending
13,27287,36743,5,22617.12,15,12,8563.72,Mumbai,Dispatched
14,47333,1807,2,13887.94,10,18,35668.48,Mumbai,Dispatched
15,15920,14359,3,5901.98,15,12,9788.71,Bangalore,Dispatched
16,8862,10643,1,26159.82,10,5,26130.96,Mumbai,Dispatched
17,3855,29726,1,22783.61,5,18,43206.33,Delhi,Pending
18,30065,9999,2,16827.76,0,5,9788.55,Mumbai,Pending
19,9276,48776,4,14795.24,5,12,14913.87,Mumbai,Dispatched
20,24986,18266,5,28285.93,5,12,33020.23,Mumbai,Dispatched
21,24499,48537,4,45702.08,15,18,21517.48,Mumbai,Pending
22,27192,13110,5,3980.35,5,5,48861.68,Bangalore,Dispatched
23,48205,32252,1,16427.62,0,5,38093.04,Delhi,Dispatched
24,7030,36337,2,22410.85,5,12,12018.06,Mumbai,Dispatched
25,42872,34474,3,14604.23,15,5,13717.38,Mumbai,Pending
26,38815,43986,2,3987.96,15,5,31440.47,Mumbai,Dispatched
27,10621,14424,4,29197.56,0,12,4854.37,Delhi,Dispatched
28,10043,37535,1,12910.85,5,12,43155.2,Mumbai,Pending
29,35605,40547,4,26570.59,0,18,5277.62,Mumbai,Pending
30,15404,18861,3,15851.53,10,12,2196.82,Mumbai,Pending
31,43663,1892,2,31727.18,0,5,4517.02,Bangalore,Dispatched
32,49673,32733,4,21904.09,15,18,29551.78,Bangalore,Dispatched
33,29281,47674,1,1878.26,5,18,20197.56,Delhi,Dispatched
34,23793,15772,3,47713.35,5,5,20851.16,Delhi,Pending
35,15172,17377,1,38374.58,5,12,2336.65,Delhi,Pending
36,4828,619,1,22104.36,0,5,18137.88,Mumbai,Pending
37,32085,38914,2,15650.23,15,12,2713.61,Delhi,Pending
38,25567,42422,2,8785.52,15,12,31940.29,Mumbai,Dispatched
39,21251,44424,2,4669.94,5,12,18699.62,Delhi,Pending
40,46602,25714,1,4377.89,5,18,5973.36,Bangalore,Dispatched
41,39180,6715,5,48310.35,10,12,39358.12,Bangalore,Pending
42,40957,36413,2,43324.8,0,18,35908.25,Mumbai,Dispatched
43,1275,7285,5,46427.95,5,18,24658.18,Mumbai,Dispatched
44,46608,33785,2,8185.2,10,18,43133.81,Mumbai,Pending
45,33488,47002,1,34465.23,10,18,39225.58,Bangalore,Pending
46,32272,1703,2,6434.72,15,5,20362.99,Mumbai,Dispatched
47,3521,19679,1,14890.27,5,5,48736.33,Bangalore,Pending
48,47157,11547,2,49294.83,0,12,14005.21,Delhi,Dispatched
49,46020,32736,3,22048.93,5,5,34928.47,Mumbai,Dispatched
50,35005,7897,4,3359.42,5,12,8053.97,Mumbai,Pending
51,18408,9223,5,48425.71,0,18,20491.38,Mumbai,Dispatched
52,11471,15652,4,16550.22,5,5,3492.69,Delhi,Pending
53,25065,7337,4,12561.65,15,12,34545.21,Mumbai,Pending
54,42626,23584,1,6685.25,5,18,9986.19,Bangalore,Pending
55,40562,30114,2,43731.4,0,12,6604.18,Mumbai,Dispatched
56,11111,19635,3,42054.34,10,18,11300.28,Mumbai,Pending
57,24092,3676,1,36187.62,10,12,19715.22,Bangalore,Dispatched
58,10147,39245,3,21576.82,0,12,6264.41,Delhi,Pending
59,35264,29092,3,156.35,15,12,18416.13,Mumbai,Pending
60,47886,17372,2,44833.91,0,12,49561.73,Delhi,Pending
61,12918,25707,3,5339.14,15,5,36610.52,Mumbai,Pending
62,31089,47294,2,35808.02,0,12,33644.2,Bangalore,Pending
63,34190,38023,4,21405.53,15,5,35797.09,Mumbai,Dispatched
64,17887,28376,1,28027.75,0,12,808.95,Delhi,Pending
65,23666,12678,4,6054.27,0,12,46776.72,Mumbai,Pending
66,15569,48610,3,6814.05,10,5,17061.77,Delhi,Dispatched
67,6686,5884,5,16135.63,15,12,41176.65,Bangalore,Dispatched
68,30466,1240,1,16383.53,15,12,25228.61,Bangalore,Dispatched
69,22476,38662,3,14102.65,0,12,2898.14,Mumbai,Dispatched
70,40061,38219,3,33890.83,5,18,36734.55,Delhi,Pending
71,27642,27065,3,48188.92,5,12,22972.91,Mumbai,Pending
72,49017,30009,1,46789.22,15,12,34029.57,Bangalore,Dispatched
73,2351,22290,1,26531.2,5,18,33109.74,Delhi,Pending
74,19306,48404,4,21486.4,5,12,6860.34,Mumbai,Dispatched
75,35485,26274,3,13397.23,5,12,9719.41,Delhi,Dispatched
76,14886,2807,2,14860.2,0,12,19352.05,Delhi,Pending
77,14315,34050,5,42805.72,10,18,35409.77,Delhi,Pending
78,22949,32134,3,3722.06,10,18,768.3,Bangalore,Pending
